Defect ID,Linked Test ID,Severity,Surface,Title,Owner,Status,Repro Steps,Expected,Actual,Evidence Link,Fix Owner,Retest Owner,Retest Result,Release Decision,Notes,PostHog Hash,PostHog Sessions 7d,PostHog Users 7d,PostHog Session ID,PostHog Replay URL,Linear URL
D-011,XPLAT-003,P1,Cross Surface,"""Log in with Google"" errors on first attempt, succeeds on retry",afo,Open,"On PWA login screen, click Log in with Google → OAuth modal opens, errors. Click again → succeeds.",First click works reliably,First click fails ~50% of the time,https://linear.app/greenpill-dev-guild/issue/PRD-506,afo,,,,QA Sync 2026-05-13 — Guilherme Ferreira · flaky social login,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-506
D-012,XPLAT-003,P1,Cross Surface,Cannot log back in after passkey logout,afo,Open,"Create new account with passkey, logout, attempt to sign in with same passkey",Same passkey re-authenticates the user,Auth flow rejects re-entry,https://linear.app/greenpill-dev-guild/issue/PRD-507,afo,,,,"QA Sync 2026-05-13 — Guilherme Ferreira · architectural, tied to passkey removal",,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-507
D-013,ADM-002,P0,Admin Dashboard,Admin garden switch hangs the entire UI,afo,Open,"Open admin.greengoods.app/hub, switch garden Green Goods Community Garden → Grow Ecosystem — UI freezes, buttons/links unresponsive",Garden context switches; new garden's data loads,UI hangs; URL updates but rendered content does not,https://linear.app/greenpill-dev-guild/issue/PRD-508,afo,,,,QA Sync 2026-05-13 — Caue Tomaz · P0 release blocker for operators,,3,3,,,https://linear.app/greenpill-dev-guild/issue/PRD-508
D-014,ADM-002,P1,Admin Dashboard,Joining a garden redirects to Green Goods Garden incorrectly,afo,Open,"Join Grow Ecosystem garden, click into vault — vault loads under Green Goods Garden context",Vault loads under user's currently-selected garden,Default-garden override on subroute navigation,https://linear.app/greenpill-dev-guild/issue/PRD-509,afo,,,,QA Sync 2026-05-13 — Caue Tomaz,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-509
D-015,ADM-002,P1,Admin Dashboard,URL updates when switching gardens but UI doesn't refresh,afo,Open,Switch garden from Green Goods to Grow Ecosystem — observe URL + UI diverge,URL change ↔ UI render in sync,URL updates; UI lags or freezes,https://linear.app/greenpill-dev-guild/issue/PRD-510,afo,,,,QA Sync 2026-05-13 — Afolabi Aiyeloja (observing Caue) · same root as D-013,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-510
D-016,ADM-001,P2,Admin Dashboard,No visible scrollbar on Admin tabs,afo,Open,"Open admin dashboard, navigate to a content tab > viewport-height, attempt to scroll using mouse on right edge",Standard scrollbar appears; user can drag,No visible scrollbar; only gesture-scroll works,https://linear.app/greenpill-dev-guild/issue/PRD-511,afo,,,,QA Sync 2026-05-13 — Caue Tomaz · CSS-only fix,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-511
D-017,ADM-001,P2,Admin Dashboard,Admin Dashboard layout doesn't use full screen,afo,Open,Open admin dashboard on typical desktop viewport (1440x900+),"Layout fills viewport, respecting max-width tokens for content lines",Content boxed into a small inner region,https://linear.app/greenpill-dev-guild/issue/PRD-512,afo,,,,QA Sync 2026-05-13 — Afolabi Aiyeloja (observing),,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-512
D-018,ADM-011,P1,Admin Dashboard,"Media uploads show as link only, not displayed",afo,Open,"Open admin garden settings, upload image for garden — only link appears, no preview thumbnail, no image shown anywhere",Preview thumbnail after upload; image visible in garden detail view,"Just a link; no preview, no display",https://linear.app/greenpill-dev-guild/issue/PRD-513,afo,,,,QA Sync 2026-05-13 — Caue Tomaz · action item: new media uploader,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-513
D-019,ADM-011,P1,Admin Dashboard,Domains button doesn't open pop-up,afo,Open,"Open admin garden settings, click Domains button",Pop-up / modal opens for managing domains,Click does nothing,https://linear.app/greenpill-dev-guild/issue/PRD-514,afo,,,,QA Sync 2026-05-13 — Caue Tomaz,,1,1,,,https://linear.app/greenpill-dev-guild/issue/PRD-514
D-020,ADM-011,P1,Admin Dashboard,ENS names not resolving on Admin — showing raw addresses (regression),afo,Open,Open admin members tab for a garden with at least one ENS-mapped wallet,"ENS-resolved name shown where available, raw address fallback only when no ENS",Raw addresses shown across the board,https://linear.app/greenpill-dev-guild/issue/PRD-516,afo,,,,QA Sync 2026-05-13 — Afolabi Aiyeloja · agent:codex (delegated),,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-516
D-021,,P1,Cross Surface,PostHog $exception captured with null type/message (telemetry triage gap),afo,Open,PostHog → either project → Events → filter event = $exception → all rows have null properties.$exception_message,Each exception carries JS error type + message per posthog.captureException payload,All exceptions have null type + message across both App and Admin projects,https://linear.app/greenpill-dev-guild/issue/PRD-515,afo,,,,Discovered by qa-triage cross-reference · agent:claude (delegated),,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-515
